7.905687333004003676e+02,3.031903774436120784e+03,1.458714610109946534e+03,1.651905273435428171e+03,1.685497393300489421e+03,1.924866801569974541e+03,2.013632246910328604e+03,1.624815322526938189e+03,1.578446282038182744e+03,1.582949990043664457e+03,1.643712388017704370e+03
7.906026515825101342e+02,9.165901630284092789e+02,8.551329450787263795e+02,1.208833203941168904e+03,1.018623917921720022e+03,9.508175998001233893e+02,8.831578665876595551e+02,1.043733935056363180e+03,1.001548004004737891e+03,1.014380684720545332e+03,1.005746538455886821e+03
7.832139206187680429e+02,9.333882428999925196e+02,8.803158210469943015e+02,1.071857133677511229e+03,1.033222871530715111e+03,1.678918672566019723e+03,9.548258166855109721e+02,1.018594173158546027e+03,1.015123394936374552e+03,1.014432903655341875e+03,1.008443513861081556e+03
7.830964757948505621e+02,9.283711202974971002e+02,8.810575408861590176e+02,8.615373451979555739e+02,1.103554179939650339e+03,8.818785961264720754e+02,8.777459350233896203e+02,1.020914178269578997e+03,1.011216414560051589e+03,1.011175530013183561e+03,1.009566471129409138e+03
7.880282649708108238e+02,1.106902724224050417e+03,1.065029405617725388e+03,9.720598215797251669e+02,1.074881071151786728e+03,1.410973932481987504e+03,1.296171556314820009e+03,1.204752683947107471e+03,1.114227148969648397e+03,1.147468215842184691e+03,1.295266697650692549e+03
7.756702987879859847e+02,9.240560888307710457e+02,8.933706392060366852e+02,8.777942488762387256e+02,1.018361623733985880e+03,8.891155564364289603e+02,1.486942471886150315e+03,1.010852634163406265e+03,1.010878603089249737e+03,9.986177876868071053e+02,1.016018446901343623e+03
7.873909350426586116e+02,9.017784876049536251e+02,8.526938809565083375e+02,8.672669827825066022e+02,1.011720698280906845e+03,8.591305434694817222e+02,8.549591092851261465e+02,1.011807117091444070e+03,1.009893703525006117e+03,1.014062468343710407e+03,1.022148569371340272e+03
7.936950193736504389e+02,1.145606311713280320e+03,9.801214119480946465e+02,1.398866220837148603e+03,1.183002108818903253e+03,1.481894999101769372e+03,1.764912747293072243e+03,1.015434536166164207e+03,1.016123493827722996e+03,9.990538688045758136e+02,1.017256173307188647e+03
7.935483463520909027e+02,9.060526861479645504e+02,8.542865497393851228e+02,8.743453403714692058e+02,1.025851494440201350e+03,8.434918518107658656e+02,8.467890793997296441e+02,1.010778422361065623e+03,1.009808059085017248e+03,1.000925409887796150e+03,1.015966383434781164e+03
7.832391304725457530e+02,2.072480673287653190e+03,1.302255743955263370e+03,1.477464783869335633e+03,1.136447192601151073e+03,1.644221882749896167e+03,1.986835474712461291e+03,1.518793308093427640e+03,1.500446898044982390e+03,1.507389778277873575e+03,1.533567997559501237e+03
7.905089489816836021e+02,9.401587102363021131e+02,9.277767046736910288e+02,9.421444046841547788e+02,1.069064343194706680e+03,9.280808993714531425e+02,1.027203939979525103e+03,1.047138807140349627e+03,1.034952052446879406e+03,1.045757279822590590e+03,1.038226558826164592e+03
